2021-09-19 08:59:08,950 - walk - INFO - (sp mode) 第 198 号筛选条件(类别2), 条件范围(10:22:31~10:22:39), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,962 - walk - INFO - (sp mode) 第 200 号筛选条件(类别2), 条件范围(10:23:06~10:23:08), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,974 - walk - INFO - (sp mode) 第 202 号筛选条件(类别2), 条件范围(10:23:38~10:23:41), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,989 - walk - INFO - (sp mode) 第 205 号筛选条件(类别2), 条件范围(10:23:56~10:23:58), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,998 - walk - INFO - (sp mode) 第 207 号筛选条件(类别2), 条件范围(10:24:10~10:24:12), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,003 - walk - INFO - (sp mode) 第 208 号筛选条件(类别2), 条件范围(10:24:16~10:24:18), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,009 - walk - INFO - (sp mode) 第 209 号筛选条件(类别2), 条件范围(10:51:20~10:51:22), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,020 - walk - INFO - (sp mode) 第 211 号筛选条件(类别2), 条件范围(10:51:30~10:51:34), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,026 - walk - INFO - (sp mode) 第 212 号筛选条件(类别2), 条件范围(10:51:35~10:51:50), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,047 - walk - INFO - (sp mode) 第 217 号筛选条件(类别2), 条件范围(10:52:48~10:52:52), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,053 - walk - INFO - (sp mode) 第 218 号筛选条件(类别2), 条件范围(10:52:54~10:52:57), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,059 - walk - INFO - (sp mode) 第 219 号筛选条件(类别2), 条件范围(10:52:59~10:53:05), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,072 - walk - INFO - (sp mode) 第 221 号筛选条件(类别2), 条件范围(10:53:14~10:53:17), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,090 - walk - INFO - (sp mode) 第 223 号筛选条件(类别2), 条件范围(10:53:20~10:53:25), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,100 - walk - INFO - (sp mode) 第 225 号筛选条件(类别2), 条件范围(10:53:31~10:53:39), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,111 - walk - INFO - (sp mode) 第 227 号筛选条件(类别2), 条件范围(10:53:42~10:53:47), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,133 - walk - INFO - (sp mode) 第 232 号筛选条件(类别2), 条件范围(10:55:22~10:55:23), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,145 - walk - INFO - (sp mode) 第 234 号筛选条件(类别2), 条件范围(10:55:27~10:55:32), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,156 - walk - INFO - (sp mode) 第 236 号筛选条件(类别2), 条件范围(10:55:38~10:55:47), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,173 - walk - INFO - (sp mode) 第 239 号筛选条件(类别2), 条件范围(10:56:07~10:56:19), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,183 - walk - INFO - (sp mode) 第 241 号筛选条件(类别2), 条件范围(10:56:28~10:56:37), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,194 - walk - INFO - (sp mode) 第 243 号筛选条件(类别2), 条件范围(10:56:49~10:56:59), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,205 - walk - INFO - (sp mode) 第 245 号筛选条件(类别2), 条件范围(10:57:03~10:57:04), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,215 - walk - INFO - (sp mode) 第 247 号筛选条件(类别2), 条件范围(10:57:17~10:57:21), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,227 - walk - INFO - (sp mode) 第 249 号筛选条件(类别2), 条件范围(10:57:27~10:57:33), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,237 - walk - INFO - (sp mode) 第 251 号筛选条件(类别2), 条件范围(10:57:49~10:57:56), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,247 - walk - INFO - (sp mode) 第 253 号筛选条件(类别2), 条件范围(10:58:11~10:58:19), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,263 - walk - INFO - (sp mode) 第 256 号筛选条件(类别2), 条件范围(10:58:40~10:58:42), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,273 - walk - INFO - (sp mode) 第 258 号筛选条件(类别2), 条件范围(10:58:54~10:58:55), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,283 - walk - INFO - (sp mode) 第 260 号筛选条件(类别2), 条件范围(10:59:11~10:59:15), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,293 - walk - INFO - (sp mode) 第 262 号筛选条件(类别2), 条件范围(10:59:31~10:59:33), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,303 - walk - INFO - (sp mode) 第 264 号筛选条件(类别2), 条件范围(10:59:52~10:59:57), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,313 - walk - INFO - (sp mode) 第 266 号筛选条件(类别2), 条件范围(11:00:44~11:00:47), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,325 - walk - INFO - (sp mode) 第 268 号筛选条件(类别2), 条件范围(11:00:58~11:01:05), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,335 - walk - INFO - (sp mode) 第 270 号筛选条件(类别2), 条件范围(11:01:19~11:01:24), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,345 - walk - INFO - (sp mode) 第 272 号筛选条件(类别2), 条件范围(11:01:36~11:01:39), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,350 - walk - INFO - (sp mode) 第 273 号筛选条件(类别2), 条件范围(11:01:41~11:01:43), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,360 - walk - INFO - (sp mode) 第 275 号筛选条件(类别2), 条件范围(11:02:15~11:02:17), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,370 - walk - INFO - (sp mode) 第 277 号筛选条件(类别2), 条件范围(11:02:45~11:02:51), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,380 - walk - INFO - (sp mode) 第 279 号筛选条件(类别2), 条件范围(11:03:19~11:03:24), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,390 - walk - INFO - (sp mode) 第 281 号筛选条件(类别2), 条件范围(11:03:36~11:03:39), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,401 - walk - INFO - (sp mode) 第 283 号筛选条件(类别2), 条件范围(11:04:25~11:04:28), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,411 - walk - INFO - (sp mode) 第 285 号筛选条件(类别2), 条件范围(11:04:39~11:04:46), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,421 - walk - INFO - (sp mode) 第 287 号筛选条件(类别2), 条件范围(11:04:56~11:04:58), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,433 - walk - INFO - (sp mode) 第 289 号筛选条件(类别2), 条件范围(11:05:41~11:05:45), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,443 - walk - INFO - (sp mode) 第 291 号筛选条件(类别2), 条件范围(11:06:58~11:07:00), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,454 - walk - INFO - (sp mode) 第 293 号筛选条件(类别2), 条件范围(11:07:37~11:07:39), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,474 - walk - INFO - (sp mode) 第 297 号筛选条件(类别2), 条件范围(11:11:46~11:11:48), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,484 - walk - INFO - (sp mode) 第 299 号筛选条件(类别2), 条件范围(11:12:51~11:12:53), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,499 - walk - INFO - (sp mode) 第 302 号筛选条件(类别2), 条件范围(11:15:40~11:15:43), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,509 - walk - INFO - (sp mode) 第 304 号筛选条件(类别2), 条件范围(11:16:06~11:16:07), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,519 - walk - INFO - (sp mode) 第 306 号筛选条件(类别2), 条件范围(11:16:20~11:16:25), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,530 - walk - INFO - (sp mode) 第 308 号筛选条件(类别2), 条件范围(11:16:54~11:16:55), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,546 - walk - INFO - (sp mode) 第 311 号筛选条件(类别2), 条件范围(11:18:16~11:18:22), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,556 - walk - INFO - (sp mode) 第 313 号筛选条件(类别2), 条件范围(11:18:39~11:18:41), 耗时 0.0 秒, 筛选结果为 0 条数据
