2021-09-19 08:59:08,842 - static - INFO - (sp mode) 第 178 号筛选条件(类别1), 条件范围(10:08:10~10:09:18), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,847 - static - INFO - (sp mode) 第 179 号筛选条件(类别1), 条件范围(10:09:22~10:11:58), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,858 - static - INFO - (sp mode) 第 181 号筛选条件(类别1), 条件范围(10:12:04~10:13:17), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,869 - static - INFO - (sp mode) 第 183 号筛选条件(类别1), 条件范围(10:13:22~10:16:24), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,880 - static - INFO - (sp mode) 第 185 号筛选条件(类别1), 条件范围(10:16:29~10:18:22), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,887 - static - INFO - (sp mode) 第 187 号筛选条件(类别1), 条件范围(10:18:27~10:20:33), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,901 - static - INFO - (sp mode) 第 189 号筛选条件(类别1), 条件范围(10:20:39~10:20:43), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,912 - static - INFO - (sp mode) 第 191 号筛选条件(类别1), 条件范围(10:20:59~10:21:46), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,929 - static - INFO - (sp mode) 第 194 号筛选条件(类别1), 条件范围(10:21:58~10:22:20), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,934 - static - INFO - (sp mode) 第 195 号筛选条件(类别1), 条件范围(10:22:22~10:22:24), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,945 - static - INFO - (sp mode) 第 197 号筛选条件(类别1), 条件范围(10:22:28~10:22:30), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,956 - static - INFO - (sp mode) 第 199 号筛选条件(类别1), 条件范围(10:22:40~10:23:05), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,967 - static - INFO - (sp mode) 第 201 号筛选条件(类别1), 条件范围(10:23:09~10:23:37), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,979 - static - INFO - (sp mode) 第 203 号筛选条件(类别1), 条件范围(10:23:42~10:23:47), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,984 - static - INFO - (sp mode) 第 204 号筛选条件(类别1), 条件范围(10:23:50~10:23:54), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,993 - static - INFO - (sp mode) 第 206 号筛选条件(类别1), 条件范围(10:23:59~10:24:07), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,014 - static - INFO - (sp mode) 第 210 号筛选条件(类别1), 条件范围(10:51:23~10:51:29), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,031 - static - INFO - (sp mode) 第 213 号筛选条件(类别1), 条件范围(10:51:51~10:51:55), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,036 - static - INFO - (sp mode) 第 214 号筛选条件(类别1), 条件范围(10:51:57~10:51:58), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,041 - static - INFO - (sp mode) 第 215 号筛选条件(类别1), 条件范围(10:52:00~10:52:17), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,065 - static - INFO - (sp mode) 第 220 号筛选条件(类别1), 条件范围(10:53:06~10:53:13), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,085 - static - INFO - (sp mode) 第 222 号筛选条件(类别1), 条件范围(10:53:18~10:53:19), 耗时 0.01 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,095 - static - INFO - (sp mode) 第 224 号筛选条件(类别1), 条件范围(10:53:26~10:53:30), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,105 - static - INFO - (sp mode) 第 226 号筛选条件(类别1), 条件范围(10:53:40~10:53:41), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,117 - static - INFO - (sp mode) 第 228 号筛选条件(类别1), 条件范围(10:53:48~10:53:49), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,128 - static - INFO - (sp mode) 第 231 号筛选条件(类别1), 条件范围(10:54:53~10:55:20), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,139 - static - INFO - (sp mode) 第 233 号筛选条件(类别1), 条件范围(10:55:24~10:55:26), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,150 - static - INFO - (sp mode) 第 235 号筛选条件(类别1), 条件范围(10:55:33~10:55:37), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,162 - static - INFO - (sp mode) 第 237 号筛选条件(类别1), 条件范围(10:55:49~10:55:54), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,167 - static - INFO - (sp mode) 第 238 号筛选条件(类别1), 条件范围(10:56:03~10:56:06), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,178 - static - INFO - (sp mode) 第 240 号筛选条件(类别1), 条件范围(10:56:20~10:56:27), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,188 - static - INFO - (sp mode) 第 242 号筛选条件(类别1), 条件范围(10:56:43~10:56:48), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,199 - static - INFO - (sp mode) 第 244 号筛选条件(类别1), 条件范围(10:57:00~10:57:02), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,210 - static - INFO - (sp mode) 第 246 号筛选条件(类别1), 条件范围(10:57:05~10:57:16), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,221 - static - INFO - (sp mode) 第 248 号筛选条件(类别1), 条件范围(10:57:22~10:57:24), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,232 - static - INFO - (sp mode) 第 250 号筛选条件(类别1), 条件范围(10:57:34~10:57:48), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,242 - static - INFO - (sp mode) 第 252 号筛选条件(类别1), 条件范围(10:57:57~10:58:10), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,252 - static - INFO - (sp mode) 第 254 号筛选条件(类别1), 条件范围(10:58:20~10:58:25), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,257 - static - INFO - (sp mode) 第 255 号筛选条件(类别1), 条件范围(10:58:28~10:58:39), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,268 - static - INFO - (sp mode) 第 257 号筛选条件(类别1), 条件范围(10:58:43~10:58:53), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,278 - static - INFO - (sp mode) 第 259 号筛选条件(类别1), 条件范围(10:58:56~10:59:10), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,288 - static - INFO - (sp mode) 第 261 号筛选条件(类别1), 条件范围(10:59:16~10:59:30), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,297 - static - INFO - (sp mode) 第 263 号筛选条件(类别1), 条件范围(10:59:34~10:59:51), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,308 - static - INFO - (sp mode) 第 265 号筛选条件(类别1), 条件范围(10:59:58~11:00:43), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,319 - static - INFO - (sp mode) 第 267 号筛选条件(类别1), 条件范围(11:00:48~11:00:57), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,330 - static - INFO - (sp mode) 第 269 号筛选条件(类别1), 条件范围(11:01:06~11:01:18), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,340 - static - INFO - (sp mode) 第 271 号筛选条件(类别1), 条件范围(11:01:25~11:01:35), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,355 - static - INFO - (sp mode) 第 274 号筛选条件(类别1), 条件范围(11:01:44~11:02:13), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,365 - static - INFO - (sp mode) 第 276 号筛选条件(类别1), 条件范围(11:02:18~11:02:44), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,375 - static - INFO - (sp mode) 第 278 号筛选条件(类别1), 条件范围(11:02:53~11:03:18), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,385 - static - INFO - (sp mode) 第 280 号筛选条件(类别1), 条件范围(11:03:25~11:03:35), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,395 - static - INFO - (sp mode) 第 282 号筛选条件(类别1), 条件范围(11:03:40~11:04:24), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,406 - static - INFO - (sp mode) 第 284 号筛选条件(类别1), 条件范围(11:04:29~11:04:38), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,416 - static - INFO - (sp mode) 第 286 号筛选条件(类别1), 条件范围(11:04:47~11:04:55), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,427 - static - INFO - (sp mode) 第 288 号筛选条件(类别1), 条件范围(11:04:59~11:05:40), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,438 - static - INFO - (sp mode) 第 290 号筛选条件(类别1), 条件范围(11:05:46~11:06:57), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,448 - static - INFO - (sp mode) 第 292 号筛选条件(类别1), 条件范围(11:07:01~11:07:36), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,459 - static - INFO - (sp mode) 第 294 号筛选条件(类别1), 条件范围(11:07:40~11:07:45), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,464 - static - INFO - (sp mode) 第 295 号筛选条件(类别1), 条件范围(11:07:47~11:10:28), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,469 - static - INFO - (sp mode) 第 296 号筛选条件(类别1), 条件范围(11:10:30~11:11:45), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,479 - static - INFO - (sp mode) 第 298 号筛选条件(类别1), 条件范围(11:11:49~11:12:50), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,489 - static - INFO - (sp mode) 第 300 号筛选条件(类别1), 条件范围(11:12:54~11:14:56), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,494 - static - INFO - (sp mode) 第 301 号筛选条件(类别1), 条件范围(11:14:59~11:15:39), 耗时 0.0 秒, 筛选结果为 0 条数据
