2021-09-18 22:45:40,301 - static - INFO - 
2021-09-18 22:51:15,413 - static - INFO - 
2021-09-18 22:52:41,252 - static - INFO - 
2021-09-18 22:53:07,489 - static - INFO - 
2021-09-18 22:55:07,465 - static - INFO - (sp mode) 第 510 号筛选条件(类别1), 条件范围(15:34:27~15:34:48), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,468 - static - INFO - (sp mode) 第 511 号筛选条件(类别1), 条件范围(15:34:50~15:34:54), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,474 - static - INFO - (sp mode) 第 513 号筛选条件(类别1), 条件范围(15:34:58~15:35:03), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,477 - static - INFO - (sp mode) 第 514 号筛选条件(类别1), 条件范围(15:35:05~15:35:11), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,480 - static - INFO - (sp mode) 第 515 号筛选条件(类别1), 条件范围(15:35:14~15:35:22), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,486 - static - INFO - (sp mode) 第 517 号筛选条件(类别1), 条件范围(15:35:25~15:36:04), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,489 - static - INFO - (sp mode) 第 518 号筛选条件(类别1), 条件范围(15:36:12~15:36:36), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,495 - static - INFO - (sp mode) 第 520 号筛选条件(类别1), 条件范围(15:36:40~15:37:00), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,501 - static - INFO - (sp mode) 第 522 号筛选条件(类别1), 条件范围(15:37:04~15:38:00), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,503 - static - INFO - (sp mode) 第 523 号筛选条件(类别1), 条件范围(15:38:02~15:38:03), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,506 - static - INFO - (sp mode) 第 524 号筛选条件(类别1), 条件范围(15:38:07~15:38:12), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,515 - static - INFO - (sp mode) 第 527 号筛选条件(类别1), 条件范围(15:38:29~15:39:32), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,521 - static - INFO - (sp mode) 第 529 号筛选条件(类别1), 条件范围(15:39:46~15:39:49), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,534 - static - INFO - (sp mode) 第 534 号筛选条件(类别1), 条件范围(15:40:54~15:41:47), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,541 - static - INFO - (sp mode) 第 536 号筛选条件(类别1), 条件范围(15:41:58~15:42:07), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,546 - static - INFO - (sp mode) 第 538 号筛选条件(类别1), 条件范围(15:42:11~15:42:53), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,552 - static - INFO - (sp mode) 第 540 号筛选条件(类别1), 条件范围(15:43:00~15:43:18), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,555 - static - INFO - (sp mode) 第 541 号筛选条件(类别1), 条件范围(15:43:21~15:43:51), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,557 - static - INFO - (sp mode) 第 542 号筛选条件(类别1), 条件范围(15:43:53~15:43:57), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,560 - static - INFO - (sp mode) 第 543 号筛选条件(类别1), 条件范围(15:43:58~15:44:09), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,566 - static - INFO - (sp mode) 第 545 号筛选条件(类别1), 条件范围(15:44:21~15:44:22), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,572 - static - INFO - (sp mode) 第 547 号筛选条件(类别1), 条件范围(15:44:26~15:44:37), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,578 - static - INFO - (sp mode) 第 549 号筛选条件(类别1), 条件范围(15:44:42~15:44:47), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,584 - static - INFO - (sp mode) 第 551 号筛选条件(类别1), 条件范围(15:44:55~15:44:57), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,590 - static - INFO - (sp mode) 第 553 号筛选条件(类别1), 条件范围(15:45:01~15:45:16), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,595 - static - INFO - (sp mode) 第 555 号筛选条件(类别1), 条件范围(15:47:13~15:47:18), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,601 - static - INFO - (sp mode) 第 557 号筛选条件(类别1), 条件范围(15:47:24~15:47:44), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,608 - static - INFO - (sp mode) 第 559 号筛选条件(类别1), 条件范围(15:48:08~15:48:20), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,614 - static - INFO - (sp mode) 第 561 号筛选条件(类别1), 条件范围(15:48:27~15:48:32), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,620 - static - INFO - (sp mode) 第 563 号筛选条件(类别1), 条件范围(15:48:37~15:49:31), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,626 - static - INFO - (sp mode) 第 565 号筛选条件(类别1), 条件范围(15:49:38~15:49:40), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,629 - static - INFO - (sp mode) 第 566 号筛选条件(类别1), 条件范围(15:49:42~15:54:36), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,632 - static - INFO - (sp mode) 第 567 号筛选条件(类别1), 条件范围(15:54:38~15:55:04), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,639 - static - INFO - (sp mode) 第 569 号筛选条件(类别1), 条件范围(15:55:11~15:56:12), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,645 - static - INFO - (sp mode) 第 571 号筛选条件(类别1), 条件范围(15:56:16~15:56:39), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,651 - static - INFO - (sp mode) 第 573 号筛选条件(类别1), 条件范围(15:56:48~15:58:53), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,654 - static - INFO - (sp mode) 第 574 号筛选条件(类别1), 条件范围(15:59:00~16:00:04), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,659 - static - INFO - (sp mode) 第 576 号筛选条件(类别1), 条件范围(16:00:08~16:00:45), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,665 - static - INFO - (sp mode) 第 578 号筛选条件(类别1), 条件范围(16:00:50~16:01:42), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,670 - static - INFO - (sp mode) 第 580 号筛选条件(类别1), 条件范围(16:01:48~16:02:21), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,676 - static - INFO - (sp mode) 第 582 号筛选条件(类别1), 条件范围(16:02:24~16:02:26), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,681 - static - INFO - (sp mode) 第 584 号筛选条件(类别1), 条件范围(16:02:37~16:02:50), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,687 - static - INFO - (sp mode) 第 586 号筛选条件(类别1), 条件范围(16:03:02~16:03:11), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,693 - static - INFO - (sp mode) 第 588 号筛选条件(类别1), 条件范围(16:03:19~16:03:33), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,699 - static - INFO - (sp mode) 第 590 号筛选条件(类别1), 条件范围(16:03:37~16:04:19), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,708 - static - INFO - (sp mode) 第 593 号筛选条件(类别1), 条件范围(16:04:30~16:05:01), 耗时 0.0 秒, 筛选结果为 0 条数据
