2021-09-18 22:45:40,301 - log - INFO - 
2021-09-18 22:51:15,412 - log - INFO - 
2021-09-18 22:52:41,249 - log - INFO - 
2021-09-18 22:53:07,488 - log - INFO - 
2021-09-18 22:55:07,343 - log - INFO - (sp mode) 第 454 号筛选条件(类别1, 条件范围(13:58:24~13:58:39)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,345 - log - INFO - (sp mode) 第 455 号筛选条件(类别1, 条件范围(13:58:43~13:59:08)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,347 - log - INFO - (sp mode) 第 456 号筛选条件(类别2, 条件范围(13:59:09~13:59:12)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,349 - log - INFO - (sp mode) 第 457 号筛选条件(类别1, 条件范围(13:59:13~13:59:25)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,351 - log - INFO - (sp mode) 第 458 号筛选条件(类别1, 条件范围(13:59:29~14:00:13)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,353 - log - INFO - (sp mode) 第 459 号筛选条件(类别2, 条件范围(14:00:14~14:00:17)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,355 - log - INFO - (sp mode) 第 460 号筛选条件(类别1, 条件范围(14:00:18~14:00:41)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,357 - log - INFO - (sp mode) 第 461 号筛选条件(类别2, 条件范围(14:00:42~14:00:44)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,359 - log - INFO - (sp mode) 第 462 号筛选条件(类别3, 条件范围(14:00:46~14:00:56)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,360 - log - INFO - (sp mode) 第 463 号筛选条件(类别1, 条件范围(14:00:57~14:00:59)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,363 - log - INFO - (sp mode) 第 465 号筛选条件(类别1, 条件范围(14:03:58~14:04:19)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,365 - log - INFO - (sp mode) 第 467 号筛选条件(类别2, 条件范围(14:05:07~14:05:09)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,367 - log - INFO - (sp mode) 第 468 号筛选条件(类别1, 条件范围(14:05:11~14:05:44)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,369 - log - INFO - (sp mode) 第 469 号筛选条件(类别2, 条件范围(14:05:46~14:05:48)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,370 - log - INFO - (sp mode) 第 470 号筛选条件(类别1, 条件范围(14:05:49~14:06:04)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,372 - log - INFO - (sp mode) 第 471 号筛选条件(类别2, 条件范围(14:06:05~14:06:10)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,375 - log - INFO - (sp mode) 第 472 号筛选条件(类别1, 条件范围(14:06:11~14:06:34)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,378 - log - INFO - (sp mode) 第 473 号筛选条件(类别1, 条件范围(14:06:38~14:07:18)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,380 - log - INFO - (sp mode) 第 474 号筛选条件(类别3, 条件范围(14:07:24~14:07:28)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,382 - log - INFO - (sp mode) 第 475 号筛选条件(类别1, 条件范围(14:07:29~14:08:41)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,384 - log - INFO - (sp mode) 第 476 号筛选条件(类别2, 条件范围(14:08:42~14:08:43)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,386 - log - INFO - (sp mode) 第 477 号筛选条件(类别2, 条件范围(14:08:49~14:08:50)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,388 - log - INFO - (sp mode) 第 478 号筛选条件(类别1, 条件范围(14:08:54~14:09:16)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,389 - log - INFO - (sp mode) 第 479 号筛选条件(类别1, 条件范围(14:10:19~14:11:26)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,391 - log - INFO - (sp mode) 第 480 号筛选条件(类别2, 条件范围(14:11:27~14:11:31)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,393 - log - INFO - (sp mode) 第 481 号筛选条件(类别1, 条件范围(14:11:32~14:12:04)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,396 - log - INFO - (sp mode) 第 482 号筛选条件(类别2, 条件范围(14:12:06~14:12:13)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,397 - log - INFO - (sp mode) 第 483 号筛选条件(类别1, 条件范围(14:12:15~14:12:52)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,399 - log - INFO - (sp mode) 第 484 号筛选条件(类别2, 条件范围(14:12:53~14:12:58)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,401 - log - INFO - (sp mode) 第 485 号筛选条件(类别1, 条件范围(14:12:59~14:13:46)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,403 - log - INFO - (sp mode) 第 486 号筛选条件(类别2, 条件范围(14:13:47~14:13:52)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,404 - log - INFO - (sp mode) 第 487 号筛选条件(类别1, 条件范围(14:13:53~14:13:55)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,406 - log - INFO - (sp mode) 第 488 号筛选条件(类别1, 条件范围(14:13:58~14:16:35)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,408 - log - INFO - (sp mode) 第 489 号筛选条件(类别2, 条件范围(14:16:40~14:16:42)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,410 - log - INFO - (sp mode) 第 490 号筛选条件(类别1, 条件范围(15:28:47~15:29:20)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,412 - log - INFO - (sp mode) 第 491 号筛选条件(类别2, 条件范围(15:29:21~15:29:27)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,415 - log - INFO - (sp mode) 第 492 号筛选条件(类别1, 条件范围(15:29:28~15:29:51)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,417 - log - INFO - (sp mode) 第 493 号筛选条件(类别2, 条件范围(15:29:52~15:29:55)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,421 - log - INFO - (sp mode) 第 494 号筛选条件(类别1, 条件范围(15:29:56~15:29:59)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,424 - log - INFO - (sp mode) 第 495 号筛选条件(类别1, 条件范围(15:30:05~15:31:16)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,427 - log - INFO - (sp mode) 第 496 号筛选条件(类别1, 条件范围(15:31:22~15:31:31)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,429 - log - INFO - (sp mode) 第 497 号筛选条件(类别2, 条件范围(15:31:32~15:31:35)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,431 - log - INFO - (sp mode) 第 498 号筛选条件(类别1, 条件范围(15:31:36~15:31:47)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,432 - log - INFO - (sp mode) 第 499 号筛选条件(类别1, 条件范围(15:31:48~15:32:54)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,435 - log - INFO - (sp mode) 第 500 号筛选条件(类别2, 条件范围(15:32:57~15:32:59)), 耗时 0.0 秒, 筛选结果为 0 条数据
